p,min1,max1,min2,max2,name1,name2
0.010101668,235,235,24,46,AQI Data PM10,Weather Data humidity
0.010036496,237,237,25,43,AQI Data PM10,Weather Data humidity
0.01000391,217,239,25,26,AQI Data PM10,Weather Data humidity
0.01000391,219,239,25,26,AQI Data PM10,Weather Data humidity
0.01000391,221,239,25,26,AQI Data PM10,Weather Data humidity
0.01000391,229,239,25,26,AQI Data PM10,Weather Data humidity
0.01000391,231,239,25,26,AQI Data PM10,Weather Data humidity
0.01000391,233,239,25,26,AQI Data PM10,Weather Data humidity
0.01000391,235,239,25,26,AQI Data PM10,Weather Data humidity
0.010199426,239,239,25,43,AQI Data PM10,Weather Data humidity
0.01000391,217,243,26,26,AQI Data PM10,Weather Data humidity
0.01000391,217,243,28,42,AQI Data PM10,Weather Data humidity
0.01000391,219,243,26,26,AQI Data PM10,Weather Data humidity
0.01000391,219,243,28,42,AQI Data PM10,Weather Data humidity
0.01000391,221,243,26,26,AQI Data PM10,Weather Data humidity
0.01000391,221,243,28,42,AQI Data PM10,Weather Data humidity
0.01000391,229,243,26,26,AQI Data PM10,Weather Data humidity
0.01000391,229,243,28,42,AQI Data PM10,Weather Data humidity
0.01000391,231,243,26,26,AQI Data PM10,Weather Data humidity
0.01000391,231,243,28,42,AQI Data PM10,Weather Data humidity
0.01000391,233,243,26,26,AQI Data PM10,Weather Data humidity
0.01000391,233,243,28,42,AQI Data PM10,Weather Data humidity
0.01000391,235,243,26,26,AQI Data PM10,Weather Data humidity
0.01000391,235,243,28,42,AQI Data PM10,Weather Data humidity
0.010036496,239,243,26,26,AQI Data PM10,Weather Data humidity
0.010036496,241,243,25,26,AQI Data PM10,Weather Data humidity
0.010036496,241,243,28,43,AQI Data PM10,Weather Data humidity
0.010036496,243,243,25,43,AQI Data PM10,Weather Data humidity
0.01000391,217,245,28,29,AQI Data PM10,Weather Data humidity
0.01000391,217,245,31,41,AQI Data PM10,Weather Data humidity
0.01000391,219,245,28,29,AQI Data PM10,Weather Data humidity
0.01000391,219,245,31,41,AQI Data PM10,Weather Data humidity
0.01000391,221,245,28,29,AQI Data PM10,Weather Data humidity
0.01000391,221,245,31,41,AQI Data PM10,Weather Data humidity
0.01000391,229,245,28,29,AQI Data PM10,Weather Data humidity
0.01000391,229,245,31,41,AQI Data PM10,Weather Data humidity
0.01000391,231,245,28,29,AQI Data PM10,Weather Data humidity
0.01000391,231,245,31,41,AQI Data PM10,Weather Data humidity
0.01000391,233,245,28,29,AQI Data PM10,Weather Data humidity
0.01000391,233,245,31,41,AQI Data PM10,Weather Data humidity
0.01000391,235,245,28,29,AQI Data PM10,Weather Data humidity
0.01000391,235,245,31,41,AQI Data PM10,Weather Data humidity
0.010036496,241,245,28,29,AQI Data PM10,Weather Data humidity
0.010036496,241,245,31,41,AQI Data PM10,Weather Data humidity
0.010036496,243,245,28,29,AQI Data PM10,Weather Data humidity
0.010036496,243,245,31,41,AQI Data PM10,Weather Data humidity
0.010036496,248,249,32,41,AQI Data PM10,Weather Data humidity
0.01000391,247,250,33,41,AQI Data PM10,Weather Data humidity
0.010101668,253,253,32,41,AQI Data PM10,Weather Data humidity
0.01000391,217,254,34,41,AQI Data PM10,Weather Data humidity
0.01000391,219,254,34,41,AQI Data PM10,Weather Data humidity
0.01000391,221,254,34,41,AQI Data PM10,Weather Data humidity
0.01000391,229,254,34,41,AQI Data PM10,Weather Data humidity
0.01000391,231,254,34,41,AQI Data PM10,Weather Data humidity
0.01000391,233,254,34,41,AQI Data PM10,Weather Data humidity
0.01000391,235,254,34,41,AQI Data PM10,Weather Data humidity
0.01000391,241,254,34,41,AQI Data PM10,Weather Data humidity
0.01000391,243,254,34,41,AQI Data PM10,Weather Data humidity
0.01000391,217,255,34,40,AQI Data PM10,Weather Data humidity
0.01000391,219,255,34,40,AQI Data PM10,Weather Data humidity
0.01000391,221,255,34,40,AQI Data PM10,Weather Data humidity
0.01000391,229,255,34,40,AQI Data PM10,Weather Data humidity
0.01000391,231,255,34,40,AQI Data PM10,Weather Data humidity
0.01000391,233,255,34,40,AQI Data PM10,Weather Data humidity
0.01000391,235,255,34,40,AQI Data PM10,Weather Data humidity
0.01000391,241,255,34,40,AQI Data PM10,Weather Data humidity
0.01000391,243,255,34,40,AQI Data PM10,Weather Data humidity
0.010101668,257,257,34,37,AQI Data PM10,Weather Data humidity
0.01000391,217,258,34,34,AQI Data PM10,Weather Data humidity
0.01000391,219,258,34,34,AQI Data PM10,Weather Data humidity
0.01000391,221,258,34,34,AQI Data PM10,Weather Data humidity
0.01000391,229,258,34,34,AQI Data PM10,Weather Data humidity
0.01000391,231,258,34,34,AQI Data PM10,Weather Data humidity
0.01000391,233,258,34,34,AQI Data PM10,Weather Data humidity
0.01000391,235,258,34,34,AQI Data PM10,Weather Data humidity
0.01000391,241,258,34,34,AQI Data PM10,Weather Data humidity
0.01000391,243,258,34,34,AQI Data PM10,Weather Data humidity
0.01000391,257,258,36,37,AQI Data PM10,Weather Data humidity
0.01000391,73,73,8,93,AQI Data PM10,Weather Data humidity
0.010036496,75,171,8,93,AQI Data PM10,Weather Data humidity
0.010036496,173,173,8,93,AQI Data PM10,Weather Data humidity
0.010134254,175,175,8,93,AQI Data PM10,Weather Data humidity
0.01000391,28,243,8,66,AQI Data PM10,Weather Data humidity
0.01000391,73,259,93,93,AQI Data PM10,Weather Data humidity
0.01000391,6,264,24,24,AQI Data PM10,Weather Data windspeed
0.01000391,6,264,43,43,AQI Data PM10,Weather Data windspeed
0.01000391,12,264,24,43,AQI Data PM10,Weather Data windspeed
0.01000391,22,264,24,66,AQI Data PM10,Weather Data windspeed
0.01000391,28,264,8,8,AQI Data PM10,Weather Data windspeed
0.010199426,266,269,24,66,AQI Data PM10,Weather Data windspeed
0.010101668,266,279,8,8,AQI Data PM10,Weather Data windspeed
0.010199426,266,303,24,43,AQI Data PM10,Weather Data windspeed
